Year,Economy,Economy Label,Partner,Partner Label,Flow,Flow Label,IctProductCategory,IctProductCategory Label,Percentage of total merchandise trade,Percentage of total merchandise trade Footnote
2000,124,"Canada",0000,"World",03,"Re-exports",ICT00,"Total ICT goods",13.25718,
2000,124,"Canada",0000,"World",24,"Re-imports",ICT00,"Total ICT goods",42.25976,
2000,132,"Cabo Verde",0000,"World",01,"Imports",ICT00,"Total ICT goods",6.40352,
2000,132,"Cabo Verde",0000,"World",02,"Exports",ICT00,"Total ICT goods",1.69004,
2000,132,"Cabo Verde",0000,"World",03,"Re-exports",ICT00,"Total ICT goods",1.97891,
2000,140,"Central African Republic",0000,"World",01,"Imports",ICT00,"Total ICT goods",1.95128,
2000,140,"Central African Republic",0000,"World",02,"Exports",ICT00,"Total ICT goods",0.02463,
2000,1400,"Developing economies",0000,"World",01,"Imports",ICT00,"Total ICT goods",20.40612,
2000,1400,"Developing economies",0000,"World",02,"Exports",ICT00,"Total ICT goods",21.13173,
2000,1400,"Developing economies",0000,"World",03,"Re-exports",ICT00,"Total ICT goods",25.43902,
2000,1400,"Developing economies",0000,"World",24,"Re-imports",ICT00,"Total ICT goods",39.6946,
2000,1410,"Developing economies: Africa",0000,"World",01,"Imports",ICT00,"Total ICT goods",6.71319,
2000,1410,"Developing economies: Africa",0000,"World",02,"Exports",ICT00,"Total ICT goods",0.89276,
2000,1410,"Developing economies: Africa",0000,"World",03,"Re-exports",ICT00,"Total ICT goods",1.82966,
2000,1420,"Developing economies: Americas",0000,"World",01,"Imports",ICT00,"Total ICT goods",14.00268,
2000,1420,"Developing economies: Americas",0000,"World",02,"Exports",ICT00,"Total ICT goods",11.09467,
2000,1420,"Developing economies: Americas",0000,"World",03,"Re-exports",ICT00,"Total ICT goods",2.57017,
2000,1420,"Developing economies: Americas",0000,"World",24,"Re-imports",ICT00,"Total ICT goods",0.10878,
2000,1430,"Developing economies: Asia",0000,"World",01,"Imports",ICT00,"Total ICT goods",23.77746,
2000,1430,"Developing economies: Asia",0000,"World",02,"Exports",ICT00,"Total ICT goods",25.88881,
2000,1430,"Developing economies: Asia",0000,"World",03,"Re-exports",ICT00,"Total ICT goods",25.58563,
2000,1430,"Developing economies: Asia",0000,"World",24,"Re-imports",ICT00,"Total ICT goods",40.6563,
2000,144,"Sri Lanka",0000,"World",01,"Imports",ICT00,"Total ICT goods",4.47593,
2000,144,"Sri Lanka",0000,"World",02,"Exports",ICT00,"Total ICT goods",2.7886,
2000,144,"Sri Lanka",0000,"World",03,"Re-exports",ICT00,"Total ICT goods",5.22325,
2000,1450,"Developing economies: Oceania",0000,"World",01,"Imports",ICT00,"Total ICT goods",4.29656,
2000,1450,"Developing economies: Oceania",0000,"World",02,"Exports",ICT00,"Total ICT goods",0.0825,
2000,1450,"Developing economies: Oceania",0000,"World",03,"Re-exports",ICT00,"Total ICT goods",0.79944,
2000,1460,"Developing economies: Asia and Oceania",0000,"World",01,"Imports",ICT00,"Total ICT goods",23.72445,
2000,1460,"Developing economies: Asia and Oceania",0000,"World",02,"Exports",ICT00,"Total ICT goods",25.82248,
2000,1460,"Developing economies: Asia and Oceania",0000,"World",03,"Re-exports",ICT00,"Total ICT goods",25.58561,
2000,1460,"Developing economies: Asia and Oceania",0000,"World",24,"Re-imports",ICT00,"Total ICT goods",40.6563,
2000,1500,"Developed economies",0000,"World",01,"Imports",ICT00,"Total ICT goods",14.55695,
2000,1500,"Developed economies",0000,"World",02,"Exports",ICT00,"Total ICT goods",13.99593,
2000,1500,"Developed economies",0000,"World",03,"Re-exports",ICT00,"Total ICT goods",34.06118,
2000,1500,"Developed economies",0000,"World",24,"Re-imports",ICT00,"Total ICT goods",20.84678,
