Year,Economy,Economy Label,Partner,Partner Label,Flow,Flow Label,Category,Category Label,US dollars at current prices in millions,US dollars at current prices in millions Footnote,Growth rate (over previous period),Growth rate (over previous period) Footnote,Percentage of total world,Percentage of total world Footnote,Percentage of total trade in services,Percentage of total trade in services Footnote
2005,1601,"Developing economies excluding LDCs",0000,"World",02,"Exports",SICT,"ICT services",33648.439,,,,20.183592,,6.04515,
2005,1610,"LDCs (Least developed countries)",0000,"World",02,"Exports",SICT,"ICT services",656.618,,,,0.393864,,5.42233,
2005,1611,"LDCs: Africa and Haiti",0000,"World",02,"Exports",SICT,"ICT services",473.339,,,,0.283926,,5.90299,
2005,1612,"LDCs: Asia",0000,"World",02,"Exports",SICT,"ICT services",170.005,,,,0.101975,,4.26731,
2005,1613,"LDCs: Islands",0000,"World",02,"Exports",SICT,"ICT services",13.275,"Estimated",,,0.007963,"Estimated",12.40464,"Estimated"
2005,1614,"LDCs: Africa",0000,"World",02,"Exports",SICT,"ICT services",464.089,,,,0.278378,,5.89457,
2005,1615,"LDCs: Islands and Haiti",0000,"World",02,"Exports",SICT,"ICT services",22.525,"Estimated",,,0.013511,"Estimated",8.92158,"Estimated"
2005,1620,"LLDCs (Landlocked developing countries)",0000,"World",02,"Exports",SICT,"ICT services",695.085,"Estimated",,,0.416938,"Estimated",5.09861,"Estimated"
2005,1630,"SIDS (Small island developing States) (analytical)",0000,"World",02,"Exports",SICT,"ICT services",452.706,"Estimated",,,0.27155,"Estimated",3.63175,"Estimated"
2005,1631,"SIDS: Atlantic and Indian Ocean",0000,"World",02,"Exports",SICT,"ICT services",76.575,"Estimated",,,0.045932,"Estimated",2.90147,"Estimated"
2005,1633,"SIDS: Pacific",0000,"World",02,"Exports",SICT,"ICT services",45.265,,,,0.027152,,3.20647,
2005,1640,"SIDS (Small island developing States) (UN-OHRLLS)",0000,"World",02,"Exports",SICT,"ICT services",2459.872,"Estimated",,,1.475523,"Estimated",2.92617,"Estimated"
2005,170,"Colombia",0000,"World",01,"Imports",SICT,"ICT services",273.1,,,,,,5.19093,
2005,170,"Colombia",0000,"World",02,"Exports",SICT,"ICT services",210.6,,,,0.126326,,7.12401,
2005,174,"Comoros",0000,"World",01,"Imports",SICT,"ICT services",1.573,,,,,,3.43173,
2005,174,"Comoros",0000,"World",02,"Exports",SICT,"ICT services",10.305,"Estimated",,,0.006181,"Estimated",24.11429,"Estimated"
2005,180,"Congo, Dem. Rep. of the",0000,"World",01,"Imports",SICT,"ICT services",1.2,"Estimated",,,,,0.10263,"Estimated"
2005,180,"Congo, Dem. Rep. of the",0000,"World",02,"Exports",SICT,"ICT services",28.5,"Estimated",,,0.017095,"Estimated",8.3042,"Estimated"
2005,188,"Costa Rica",0000,"World",01,"Imports",SICT,"ICT services",121.7,,,,,,8.05054,
2005,188,"Costa Rica",0000,"World",02,"Exports",SICT,"ICT services",206.9,,,,0.124106,,6.47149,
2005,191,"Croatia",0000,"World",01,"Imports",SICT,"ICT services",257.155,,,,,,7.11512,
2005,191,"Croatia",0000,"World",02,"Exports",SICT,"ICT services",315.305,,,,0.189132,,3.47016,
2005,203,"Czechia",0000,"World",01,"Imports",SICT,"ICT services",823.582,,,,,,7.61896,
2005,203,"Czechia",0000,"World",02,"Exports",SICT,"ICT services",1000.052,,,,0.599869,,7.60417,"Estimated"
2005,204,"Benin",0000,"World",01,"Imports",SICT,"ICT services",19.472,,,,,,6.92106,
2005,204,"Benin",0000,"World",02,"Exports",SICT,"ICT services",5.403,,,,0.003241,,2.78746,
2005,214,"Dominican Republic",0000,"World",01,"Imports",SICT,"ICT services",24.7,,,,,,1.67095,
2005,214,"Dominican Republic",0000,"World",02,"Exports",SICT,"ICT services",128.9,,,,0.077319,,2.08525,
2005,218,"Ecuador",0000,"World",01,"Imports",SICT,"ICT services",5.982,,,,,,0.27852,
2005,218,"Ecuador",0000,"World",02,"Exports",SICT,"ICT services",80.075,,,,0.048032,,7.86498,
2005,222,"El Salvador",0000,"World",01,"Imports",SICT,"ICT services",21.7,,,,,,1.94668,
2005,222,"El Salvador",0000,"World",02,"Exports",SICT,"ICT services",102.6,,,,0.061543,,6.94167,
2005,231,"Ethiopia",0000,"World",01,"Imports",SICT,"ICT services",18.363,,,,,,1.5382,
2005,231,"Ethiopia",0000,"World",02,"Exports",SICT,"ICT services",40.596,,,,0.024351,,4.01095,
2005,233,"Estonia",0000,"World",01,"Imports",SICT,"ICT services",117.505,"Estimated",,,,,5.2068,"Estimated"
2005,233,"Estonia",0000,"World",02,"Exports",SICT,"ICT services",122.438,"Estimated",,,0.073443,"Estimated",3.52569,"Estimated"
2005,234,"Faroe Islands",0000,"World",01,"Imports",SICT,"ICT services",10.144,,,,,,4.41465,
2005,234,"Faroe Islands",0000,"World",02,"Exports",SICT,"ICT services",3.645,,,,0.002186,,2.7505,
2005,2370,"Selected exporters of petroleum",0000,"World",02,"Exports",SICT,"ICT services",2308.589,"Estimated",,,1.384778,"Estimated",5.59424,"Estimated"
2005,2371,"Selected exporters of manufactured goods",0000,"World",02,"Exports",SICT,"ICT services",25087.338,,,,15.048324,,7.12108,
2005,2372,"Selected exporters of manufactured goods and primary commodities",0000,"World",02,"Exports",SICT,"ICT services",6984.074,,,,4.189309,,2.81374,
2005,2373,"Selected exporters of agricultural products",0000,"World",02,"Exports",SICT,"ICT services",1410.704,,,,0.846193,,5.17313,
2005,2374,"Selected exporters of minerals and mining products",0000,"World",02,"Exports",SICT,"ICT services",667.259,"Estimated",,,0.400247,"Estimated",4.27074,"Estimated"
2005,2376,"Selected LIFDC (Low-income food-deficit countries)",0000,"World",02,"Exports",SICT,"ICT services",700.573,,,,0.42023,,6.35271,
2005,2378,"LIFDC (Low-income food-deficit countries) (FAO)",0000,"World",02,"Exports",SICT,"ICT services",1142.087,,,,0.685067,,5.83376,
2005,2411,"Net food-importing economies",0000,"World",02,"Exports",SICT,"ICT services",75079.582,,,,45.035542,,5.18258,
2005,2412,"Net food-exporting economies",0000,"World",02,"Exports",SICT,"ICT services",91619.701,,,,54.956925,,7.40829,
2005,2413,"Net food-exporting developing economies",0000,"World",02,"Exports",SICT,"ICT services",23956.004,,,,14.369708,,9.05194,
2005,2415,"Net food-exporting developed economies",0000,"World",02,"Exports",SICT,"ICT services",67663.697,,,,40.587217,,6.9608,
2005,2416,"Major net food-exporting economies",0000,"World",02,"Exports",SICT,"ICT services",90079.868,,,,54.033275,,7.62402,
2005,242,"Fiji",0000,"World",01,"Imports",SICT,"ICT services",30.186,,,,,,5.69817,
2005,242,"Fiji",0000,"World",02,"Exports",SICT,"ICT services",29.267,,,,0.017555,,3.14663,
2005,2420,"Net food-importing developing economies",0000,"World",02,"Exports",SICT,"ICT services",10336.493,,,,6.200215,,3.42088,
2005,2422,"Net food-importing developed economies",0000,"World",02,"Exports",SICT,"ICT services",64743.089,,,,38.835327,,5.64687,
2005,2423,"Major net food-importing economies",0000,"World",02,"Exports",SICT,"ICT services",69284.719,,,,41.559566,,5.35976,
2005,246,"Finland",0000,"World",01,"Imports",SICT,"ICT services",1626.134,,,,,,9.38028,
2005,246,"Finland",0000,"World",02,"Exports",SICT,"ICT services",1698.33,,,,1.018722,,13.85305,
2005,2508,"Industrialized economies (UNIDO)",0000,"World",02,"Exports",SICT,"ICT services",134684.194,,,,80.788619,,6.179,
2005,2509,"EIEs (Emerging Industrial Economies) (UNIDO)",0000,"World",02,"Exports",SICT,"ICT services",27116.307,,,,16.265376,,6.83109,
2005,2510,"Emerging markets",0000,"World",02,"Exports",SICT,"ICT services",34533.341,,,,20.71439,,5.77585,
2005,2511,"Emerging markets: Africa",0000,"World",02,"Exports",SICT,"ICT services",730.323,,,,0.438075,,2.58394,
2005,2512,"Emerging markets: Americas",0000,"World",02,"Exports",SICT,"ICT services",2027.426,,,,1.216126,,3.79628,
2005,2513,"Emerging markets: Asia",0000,"World",02,"Exports",SICT,"ICT services",27297.698,,,,16.37418,,6.66005,
2005,2514,"Emerging markets: Europe and Kazakhstan",0000,"World",02,"Exports",SICT,"ICT services",4477.895,,,,2.686009,,4.21052,
2005,258,"French Polynesia",0000,"World",01,"Imports",SICT,"ICT services",9.971,,,,,,1.3813,
2005,258,"French Polynesia",0000,"World",02,"Exports",SICT,"ICT services",19.105,,,,0.01146,,1.77906,
2005,2611,"HIPCs (Heavily indebted poor countries) (IMF)",0000,"World",02,"Exports",SICT,"ICT services",843.184,,,,0.505773,,6.08639,
2005,262,"Djibouti",0000,"World",02,"Exports",SICT,"ICT services",5.824,"Estimated",,,0.003493,"Estimated",2.34481,"Estimated"
2005,2621,"High-income developing economies",0000,"World",02,"Exports",SICT,"ICT services",12128.216,,,,7.274958,,2.92376,
2005,2622,"Middle-income developing economies",0000,"World",02,"Exports",SICT,"ICT services",21222.684,,,,12.73016,,15.18723,
2005,2623,"Low-income developing economies",0000,"World",02,"Exports",SICT,"ICT services",954.156,,,,0.572338,,6.73457,
2005,2624,"Low-income economies (World Bank)",0000,"World",02,"Exports",SICT,"ICT services",504.606,,,,0.302682,,6.36239,
2005,2625,"Lower-middle-income economies (World Bank)",0000,"World",02,"Exports",SICT,"ICT services",21353.788,,,,12.808801,,14.13915,
2005,2626,"Upper-middle-income economies (World Bank)",0000,"World",02,"Exports",SICT,"ICT services",9926.368,,,,5.954207,,3.30059,
2005,2627,"High-income economies (World Bank)",0000,"World",02,"Exports",SICT,"ICT services",134853.942,,,,80.89044,,6.05791,
2005,2628,"High-income OECD members (World Bank)",0000,"World",02,"Exports",SICT,"ICT services",129218.12,,,,77.509863,,6.32679,
2005,268,"Georgia",0000,"World",01,"Imports",SICT,"ICT services",17.137,,,,,,2.69537,
2005,268,"Georgia",0000,"World",02,"Exports",SICT,"ICT services",18.495,,,,0.011094,,2.50639,
2005,270,"Gambia",0000,"World",01,"Imports",SICT,"ICT services",0.973,,,,,,2.07512,
2005,270,"Gambia",0000,"World",02,"Exports",SICT,"ICT services",7.66,"Estimated",,,0.004595,"Estimated",9.3177,"Estimated"
2005,2710,"BASIC",0000,"World",02,"Exports",SICT,"ICT services",19658.63,,,,11.791982,,12.46004,
2005,2711,"BRICS",0000,"World",02,"Exports",SICT,"ICT services",20652.88,,,,12.38837,,11.06688,
2005,275,"State of Palestine",0000,"World",01,"Imports",SICT,"ICT services",62.219,"Estimated",,,,,13.60403,"Estimated"
2005,275,"State of Palestine",0000,"World",02,"Exports",SICT,"ICT services",25.434,"Estimated",,,0.015256,"Estimated",11.29431,"Estimated"
2005,276,"Germany",0000,"World",01,"Imports",SICT,"ICT services",12308.591,,,,,,5.87931,
2005,276,"Germany",0000,"World",02,"Exports",SICT,"ICT services",11064.328,,,,6.636798,,6.66153,"Estimated"
2005,300,"Greece",0000,"World",01,"Imports",SICT,"ICT services",493.352,"Estimated",,,,,3.0413,"Estimated"
2005,300,"Greece",0000,"World",02,"Exports",SICT,"ICT services",490.915,"Estimated",,,0.294469,"Estimated",1.44989,"Estimated"
2005,3101,"AMU (Arab Maghreb Union)",0000,"World",02,"Exports",SICT,"ICT services",589.628,,,,0.353681,,3.62593,
2005,3102,"COMESA (Common Market for Eastern and Southern Africa)",0000,"World",02,"Exports",SICT,"ICT services",867.148,,,,0.520148,,3.17315,
2005,3103,"ECCAS (Economic Community of Central African States)",0000,"World",02,"Exports",SICT,"ICT services",143.585,,,,0.086128,,5.93313,
2005,3104,"ECOWAS (Economic Community of West African States)",0000,"World",02,"Exports",SICT,"ICT services",328.599,,,,0.197106,,5.3563,
2005,3105,"MRU (Mano River Union)",0000,"World",02,"Exports",SICT,"ICT services",91.677,,,,0.054991,,7.0031,
2005,3106,"SADC (Southern African Development Community)",0000,"World",02,"Exports",SICT,"ICT services",525.888,,,,0.315447,,2.77615,
2005,3107,"CEMAC (Economic and Monetary Community of Central Africa)",0000,"World",02,"Exports",SICT,"ICT services",87.811,,,,0.052673,,5.75901,
2005,3108,"WAEMU (West African Economic and Monetary Union)",0000,"World",02,"Exports",SICT,"ICT services",281.192,,,,0.16867,,11.23636,
2005,3110,"EAC (East African Community)",0000,"World",02,"Exports",SICT,"ICT services",272.32,,,,0.163348,,6.73358,
2005,3111,"SACU (Southern African Customs Union)",0000,"World",02,"Exports",SICT,"ICT services",362.567,,,,0.217481,,2.72436,
2005,3112,"CEN-SAD (Community of Sahel-Saharan States)",0000,"World",02,"Exports",SICT,"ICT services",1244.828,,,,0.746694,,3.59874,
2005,3113,"IGAD (Intergovernmental Authority on Development)",0000,"World",02,"Exports",SICT,"ICT services",277.991,,,,0.16675,,7.2056,
2005,3114,"United Nations member States",0000,"World",02,"Exports",SICT,"ICT services",165201.615,,,,99.094109,,6.34122,
2005,320,"Guatemala",0000,"World",01,"Imports",SICT,"ICT services",13.1,,,,,,0.9037,
2005,320,"Guatemala",0000,"World",02,"Exports",SICT,"ICT services",181.5,,,,0.10887,,13.87827,
2005,3201,"CAN (Andean Community)",0000,"World",02,"Exports",SICT,"ICT services",395.273,,,,0.2371,,5.70975,
2005,3202,"CACM (Central American Common Market)",0000,"World",02,"Exports",SICT,"ICT services",788.024,,,,0.472686,,6.87458,
2005,3205,"LAIA (Latin American Integration Association)",0000,"World",02,"Exports",SICT,"ICT services",2215.006,,,,1.328643,,3.42912,
2005,3206,"NAFTA (North American Free Trade Agreement)",0000,"World",02,"Exports",SICT,"ICT services",16770.7,,,,10.059693,,3.67997,
2005,3208,"MERCOSUR (Southern Common Market)",0000,"World",02,"Exports",SICT,"ICT services",902.432,,,,0.541313,,3.6545,
2005,3209,"ALBA-TCP (Bolivarian Alliance for the Peoples of Our America - Peoples' Trade Treaty)",0000,"World",02,"Exports",SICT,"ICT services",189.736,"Estimated",,,0.113811,"Estimated",1.72006,"Estimated"
2005,3211,"ACS (Association of Caribbean States)",0000,"World",02,"Exports",SICT,"ICT services",2125.805,,,,1.275137,,3.93844,
2005,324,"Guinea",0000,"World",01,"Imports",SICT,"ICT services",7.53,,,,,,2.61404,
2005,324,"Guinea",0000,"World",02,"Exports",SICT,"ICT services",0.66,,,,0.000396,,0.79624,
2005,328,"Guyana",0000,"World",01,"Imports",SICT,"ICT services",23.227,,,,,,11.56199,
2005,328,"Guyana",0000,"World",02,"Exports",SICT,"ICT services",33.735,,,,0.020236,,22.81458,
2005,3301,"ASEAN (Association of Southeast Asian Nations)",0000,"World",02,"Exports",SICT,"ICT services",4275.956,,,,2.564878,,3.7716,
2005,3302,"APTA (Asia-Pacific Trade Agreement)",0000,"World",02,"Exports",SICT,"ICT services",19480.299,,,,11.685012,,10.52797,
2005,3304,"SAARC (South Asian Association for Regional Cooperation)",0000,"World",02,"Exports",SICT,"ICT services",17256.326,,,,10.35099,,28.89795,
2005,3305,"ASEAN (Association of Southeast Asian Nations) plus China, Japan and Republic of Korea",0000,"World",02,"Exports",SICT,"ICT services",8300.383,,,,4.97888,,2.4087,
2005,3306,"ECO (Economic Cooperation Organization)",0000,"World",02,"Exports",SICT,"ICT services",1008.495,,,,0.604933,,2.39882,
2005,3307,"African Union",0000,"World",02,"Exports",SICT,"ICT services",2210.052,,,,1.325672,,3.57962,
2005,3310,"ADB (African Development Bank), developing member countries",0000,"World",02,"Exports",SICT,"ICT services",23154.065,,,,13.888674,,10.81037,
2005,3311,"ADB: Group A",0000,"World",02,"Exports",SICT,"ICT services",127.823,"Estimated",,,0.076673,"Estimated",3.96527,"Estimated"
2005,3312,"ADB: Group B",0000,"World",02,"Exports",SICT,"ICT services",17131.214,,,,10.275943,,28.59365,
2005,3313,"ADB: Group C",0000,"World",02,"Exports",SICT,"ICT services",5895.028,,,,3.536058,,3.90276,
2005,332,"Haiti",0000,"World",01,"Imports",SICT,"ICT services",19.61,"Estimated",,,,,3.60233,"Estimated"
2005,332,"Haiti",0000,"World",02,"Exports",SICT,"ICT services",9.25,"Estimated",,,0.005548,"Estimated",6.35914,"Estimated"
2005,3320,"ECA (Economic Commission for Africa)",0000,"World",02,"Exports",SICT,"ICT services",2210.052,,,,1.325672,,3.57962,
2005,3330,"ECLAC (Economic Commission for Latin America and the Caribbean)",0000,"World",02,"Exports",SICT,"ICT services",3413.206,,,,2.047369,,3.64632,
2005,3333,"ECA: Mineral-rich countries",0000,"World",02,"Exports",SICT,"ICT services",659.964,,,,0.395871,,3.13764,
2005,3334,"ECA: Non-oil LDCs",0000,"World",02,"Exports",SICT,"ICT services",427.111,,,,0.256197,,5.69989,
