Country,Region,Year,Generation,Overall Score
San Marino,Europe,2022,G1,28.5
Sao Tome and Principe,Africa,2022,G3,76
Saudi Arabia,Arab States,2022,G4,94
Senegal,Africa,2022,G4,87
Serbia,Europe,2022,G4,94.5
Seychelles,Africa,2022,G2,62
Sierra Leone,Africa,2022,G2,62
Singapore,East Asia and Pacific,2022,G4,93.5
Slovakia,Europe,2022,G4,88.5
Slovenia,Europe,2022,G4,97
Solomon Islands,East Asia and Pacific,2022,G3,81
Somalia,Arab States,2022,G2,58
South Africa,Africa,2022,G4,85.3
South Sudan,Africa,2022,G2,54
Spain,Europe,2022,G4,85
Sri Lanka,South Asia,2022,G2,61.3
Sudan,Arab States,2022,G3,75.5
Suriname,Latin America & Caribbean,2022,G2,62
Sweden,Europe,2022,G4,88
Switzerland,Europe,2022,G4,93.5
Syrian Arab Republic,Arab States,2022,G2,51.5
Tajikistan,CIS,2022,G1,14
Tanzania,Africa,2022,G3,82
Thailand,East Asia and Pacific,2022,G4,85.5
Timor-Leste,East Asia and Pacific,2022,G2,55.5
Togo,Africa,2022,G3,76.7
Tonga,East Asia and Pacific,2022,G2,46.8
Trinidad and Tobago,Latin America & Caribbean,2022,G4,89
Tunisia,Arab States,2022,G3,73.8
Turkey,Europe,2022,G4,93.5
Turkmenistan,CIS,2022,G1,6.7
Tuvalu,East Asia and Pacific,2022,G1,9.5
Uganda,Africa,2022,G4,86
Ukraine,Europe,2022,G3,78
United Arab Emirates,Arab States,2022,G3,82
United Kingdom,Europe,2022,G4,95.5
United States,North America,2022,G4,90.5
Uruguay,Latin America & Caribbean,2022,G3,73.5
Uzbekistan,CIS,2022,G1,16.8
Vanuatu,East Asia and Pacific,2022,G3,77
Venezuela,Latin America & Caribbean,2022,G3,78.8
Viet Nam,East Asia and Pacific,2022,G3,70.8
Yemen,Arab States,2022,G1,15
Zambia,Africa,2022,G3,72.7
Zimbabwe,Africa,2022,G3,70
