Country,Facebook Users,Population in Thousands (2021),Percentage of Facebook Users
Guinea-Bissau,140000,2151,6.51
Central African Republic,135700,5742,2.36
Samoa,134500,226,59.60
Solomon Islands,130000,740,17.56
Equatorial Guinea,120900,1715,7.05
Curacao,120000,192,62.47
Vanuatu,110000,335,32.88
French Guiana,110000,312,35.24
Mayotte,95500,336,28.42
Saint Lucia,92000,180,51.04
Aruba,91000,106,85.63
Tonga,75400,108,69.96
Seychelles,71300,108,66.23
Jersey,63000,112,56.35
Grenada,62000,126,49.13
Saint Vincent and the Grenadines,61000,104,58.82
Andorra,55400,80,69.17
Kiribati,51300,134,38.42
Isle of Man,50000,85,59.02
Cayman Islands,48000,69,69.25
Micronesia,41500,115,36.02
Dominica,39000,73,53.40
Bermuda,39000,64,60.87
Greenland,38000,57,67.09
Saint Kitts and Nevis,35000,48,73.29
Guernsey,34000,64,53.51
Northern Mariana Islands,33500,50,67.27
Faroe Islands,33000,53,61.95
American Samoa,32400,44,73.78
Sint Maarten,31000,44,70.10
Western Sahara,27000,587,4.60
Turks and Caicos Islands,25000,46,54.27
Marshall Islands,23000,42,54.77
Gibraltar,23000,33,70.36
United States Virgin Islands,22000,99,22.28
Saint Martin,15000,32,46.76
North Korea,14000,26161,0.05
Liechtenstein,14000,40,35.37
Palau,14000,18,77.53
Monaco,13000,36,35.82
British Virgin Islands,12000,32,38.05
Anguilla,9000,16,56.61
San Marino,7900,34,23.48
Tuvalu,6400,11,56.16
Saint Barthelemy,6400,11,58.21
Eritrea,6200,3749,0.17
Wallis and Futuna,6000,12,52.16
Saint Pierre and Miquelon,3100,6,53.08
Falkland Islands,3100,4,81.77
Nauru,2900,13,22.69
Cook Islands,2700,17,15.84
Montserrat,2600,4,59.28
Niue,820,2,42.38
Vatican City,799,1,154.25
Tokelau,410,2,21.66
